movement,start_year,end_year,group
Mannerism,1520,1620,1
Ukiyo-e,1672,1880,1
Neo-Impressionism,1884,1935,1
Abstract Expressionism,1943,1965,1
The Pictures Generation,1974,1984,1
Baroque,1584,1723,2
Neoclassicism,1750,1850,2
Japonism,1854,1920,2
Socialist Realism,1922,1980,2
Dutch Golden Age,1600,1672,3
Rococo,1702,1780,3
Orientalism,1810,1890,3
Ashcan School,1900,1915,3
Purism,1918,1925,3
British Pop Art,1947,1969,3
Neo-Expressionism,1977,1990,3
Romanticism,1780,1830,4
Realism,1840,1880,4
Art Nouveau,1890,1905,4
Cubism,1907,1922,4
American Regionalism,1928,1943,4
Color Field Painting,1947,1965,4
School of London,1976,1990,4
Naturalism,1820,1880,5
Pictorialism,1885,1915,5
De Stijl,1917,1931,5
Black Mountain College,1933,1957,5
Fluxus,1959,1978,5
Neo-Geo,1980,1990,5
Hudson River School,1826,1870,6
Impressionism,1872,1892,6
Fauvism,1899,1908,6
Metaphysical Painting,1910,1920,6
Biomorphism,1924,1955,6
Contemporary Realism,1960,1970,6
Barbizon School,1830,1870,7
Les Nabis,1880,1910,7
Rayonism,1911,1914,7
Dada,1916,1924,7
Social Realism,1929,1957,7
Happenings,1958,1970,7
Installation Art,1970,2020,7
Pre-Raphaelites,1848,1890,8
Jugendstil,1896,1914,8
Neo-Plasticism,1917,1944,8
CoBrA Group,1948,1951,8
Concrete Poetry,1955,1971,8
Luminism,1850,1875,9
American Impressionism,1880,1920,9
Fourteenth Street School,1920,1940,9
Art Informel,1945,1950,9
Neo-Dada,1952,1970,9
Aesthetic Movement,1860,1900,10
Die Brücke,1905,1913,10
Constructivism,1915,1937,10
Action Painting,1945,1960,10
Body Art,1961,1980,10
Arts and Crafts Movement,1860,1920,11
Harlem Renaissance,1920,1940,11
Bay Area Painters,1950,1970,11
Primitivism in Art,1860,1945,12
Post-Painterly Abstraction,1950,1977,12
Young British Artists,1987,2020,12
Peredvizhniki,1863,1923,13
Surrealism and Surrealist Sculpture,1924,1966,13
Street and Graffiti Art,1967,2020,13
Tonalism,1870,1915,14
Bauhaus,1919,1933,14
Gutai Group,1954,1972,14
Yoga,1876,1955,15
Situationist International,1957,1972,15
Superflat,2000,2020,15
Post-Impressionism,1880,1914,16
New Objectivity,1919,1933,16
Pop Art,1955,1977,16
Symbolism,1880,1910,17
Orphism,1911,1914,17
Interwar Classicism,1919,1939,17
Minimalism,1960,1967,17
Institutional Critique,1968,2020,17
Art Deco,1900,1945,18
Light and Space,1960,1980,18
Wiener Werkstätte,1903,1932,19
Washington Color School,1958,1980,19
Sosuku-hanga,1904,1960,20
Capitalist Realism,1963,1971,20
Expressionism,1905,1933,21
Nouveau Réalisme,1960,1970,21
Düsseldorf School,1970,2020,21
Bloomsbury Group Artists,1909,1940,22
Hard-Edge Painting,1959,1970,22
Futurism,1909,1944,23
Viennese Actionism,1960,1971,23
Modern Photography,1910,1960,24
Arte Povera,1962,1972,24
Salon Cubism,1910,1918,25
Dada and Surreal Photography,1919,1965,25
Post-Minimalism,1966,2020,25
Der Blaue Reiter,1911,1914,26
Mexican Muralism,1920,1950,26
Kinetic Art,1954,2020,26
Russian Futurism,1911,1916,27
Concrete Art,1930,1959,27
Earth/Environmental Art,1960,2020,27
Synchronism,1912,1924,28
Group f/64,1932,1935,28
Feminist Art,1960,2020,28
Suprematism,1913,1927,29
Identity Politics,1960,2020,29
Vorticism,1913,1915,30
Abstract Photography,1916,2020,30
International Style,1914,1970,31
Art Brut,1923,2020,31
Documentary Photography,1843,2020,32
Fashion Photography,1850,2020,33
Photojournalism,1853,2020,34
Queer Art,1870,2020,35
Nihonga,1882,2020,36
Street Photography,1890,2020,37
Vienna Secession,1897,2020,38
Straight Photography,1910,2020,39
Magic Realism,1925,2020,40
Performance Art,1960,2020,41
Photorealism,1960,2020,42
Op Art,1964,2020,43
Conceptual Art,1965,2020,44
Digital Art,1965,2020,45
Video Art,1965,2020,46
